FacilityID,FIPS_1,POPULATION_2020
60439NCLCR135TH,17197880202,4716
83415SDDHNLINCO,16023970100,2574
45241DBSCH3630E,39061023001,4939
46992LMTCH305DI,18169102600,3036
06340RWDCR839PO,09011702700,4707
24112CMMNW345BE,51089010300,5223
18301DVRSY880CR,42089300902,1670
48198GNRLMWILLO,26161984000,34
60106NTNLN84IND,17043840000,2835
53085CRTGJ1CRCK,55117010602,4373
28402FRTRNHWY42,37129011503,3657
49423NFRMC942BR,26005032401,1715
92335VSTMT13425,06071002204,6141
60140LGLYS1HAUK,17089850706,1922
74447PCCRW124W2,40111000300,2738
97210WCKRS7200N,41051004300,1176
03244GTPRDWESTM,33011025502,3141
49615LMNNC1000F,26009960401,1133
29506NWMLL2527E,45041000502,3476
45831NWMLL21739,39137030200,5619
00690SNSRMSTATE,,
47620GPLSTLEXAN,18129040500,3061
74146BRLWH10338,40143009019,3808
56649BSCSCSECON,27071790202,2798
93631NTRSN39494,06107000303,3662
03062DVNCD118NO,33011011402,5165
85281RCKFR546SR,04013318400,5840
84059MCKLM212N1,49049002209,3869
44004LCPCH3509M,39007000300,2093
98421RNRPL624E1,53053060200,2247
27501KDDFR141JU,37085070901,2844
76001LSTTS7701A,48439111407,3894
61821KRFTF710NO,17019000901,4731
47240GCMCR125BA,18031969000,5292
62301MDWST4901N,17001010500,3069
62301QDMMR3400W,17001000100,4644
68504CNTRN3425N,31109000300,3491
46706RVSBRCR427,18033020602,4685
53212TRMNT371NH,55079004400,2682
00757PRDCT116CA,,
28602HTCHF41519,37035011000,2414
60123CBDNC1185J,17089851910,3927
23803MNCHS2329A,51053840500,3949
49424BWLCT71CMM,26139022208,4934
53151JTTCH212SC,55133201403,4308
76712CNTRL1100W,48309003711,7247
54548TSLND7352G,55085970900,2582
60139TSLND4HIGH,17043840904,3610
18603STRCK9THOA,42037050600,5202
77092MSSFL622LU,48201532200,3827
77474MSSFL57USH,48015760202,4450
44281HYLDN9976R,39103417300,4595
60914LBMMT1115E,17091010602,6137
53154BYVWN7821S,55079160102,2595
53538HPPNR25EBL,55055101500,3976
55164KCHRFPOBOX,27037061003,2674
46723CTLNG41NUS,18003010400,4199
28613TRRML219SI,37035010204,5177
45750FRMSCMILLC,39167020900,2544
14150CRHNT3500R,36029008400,2385
60084SRMSY800NC,17097864408,6232
27886LCTLT2801A,37065021200,4969
77705GLFCS6817I,48245011402,4369
37681TRRML6DAVY,47059090900,5342
53589STGHT416SA,55025012300,5765
53536STGHT101CO,55105002901,3762
45177RNDLL474SN,39027964700,5762
49512BRSCH4511E,26081012604,6739
95367THNDR34PAT,06099000301,2038
60552DRCST15SGR,17037001900,2363
61201PRCSN165FI,17161023600,1609
95758PLYCL3233D,06067009618,4834
53225STCHN5848N,55079000502,4296
30120TCRBB765SE,13015960601,6093
60609MRCNN1101W,17031842600,4245
91311MRCNN20730,06037113303,4160
38654MRCNN10800,28033070812,5333
73179MRCNN3400S,40109108604,4966
29010MRCNN609CO,45061920302,4350
30050MRCNN48ROY,13063040308,4654
43420MRCNN2145C,39143961600,3030
75604STRHC1001F,48183010302,5388
98032MRCNN1220N,53033029206,4582
77029MRCNN8501E,48201212400,2947
08852MRCNNGEORG,34023008502,5669
27107STRHC4000O,37067003500,8076
43571MRCNN10444,39095008903,4789
55107MRCNN139EV,27123036100,1607
85031MRCNN211NO,04013112512,566
94533MRCNN2433C,06095252317,11656
39440CHMLN3705I,28067950602,2241
06110CLTND545NE,09003496900,6179
07203PMRCN209E1,34039034400,4852
01069PLMRF22MTD,25013810200,2950
49504RCKFR69MYR,26081000800,3172
49099LLNDN501SM,26149041400,4997
90040STBTT2700C,06037532303,4364
14302CCDNT4700B,36063021700,3358
42701DWCRN760HO,21093001004,3872
56623RDRWL210MA,27077460300,1536
02780RDNDB144WE,25005613600,4178
43723MNGRM60800,39059977900,4330
44122HXGRM2395M,39035131105,3968
94802CHVRN841ST,06013378000,3892
35079BRMNG1641S,01009050604,5323
44011CHMTR35850,39093013101,5392
46542CTBNC611NR,18085961100,6162
45040RLNCM3535K,39165031906,4351
08536FRMNCPRINC,34023008601,5423
77091FRGDV2525D,48201531900,5152
90245CRSTK251EM,06037980013,62
92879NCXXX1001C,06065041602,3245
73069THCRC11ETN,40027200100,338
33870LSCSB722WE,12055980200,0
45840CPRTRLIMAW,39063001000,6413
38802CPRTR1689S,28081950700,3596
30613LVRRB215ON,13059130300,5532
75502CPRTRRT12P,05091020802,2346
31703CPRTR3300S,13095011200,3108
27203LVRRB408TE,37151030202,4962
55107VKNGD355ST,27123036100,1607
22801STRYS500PL,51165011700,5337
53154KCRKP4801E,55079160301,5523
77015MRFRG1377I,48201233300,4468
55448BTWNC11551,27003050704,4779
06076TYCPR15TYC,09013890202,4949
70805XXNCH4999S,22033003000,4798
28603SCRTLSTATE,37035011000,2414
55318MNNTN104PE,27019090902,2044
56283ZYTCC1425E,27127750200,3256
26030WHLNGROUTE,54009031700,2324
30467TRRNGBOX16,13251970402,3466
55808DLTHB231CM,27137003700,2002
07463WSMND21HAR,34003056200,5304
91761NTSHP1336E,06071001803,3240
74745STCSL1803S,40089098700,3921
83706MCRNT2805E,16001010503,5452
16063RMMTL7WNEW,42019911900,4854
55127LCTRN4CMME,27123040603,5177
53020BRMRMW22HW,55015020600,5076
13323LCTRN3683S,36065025002,3730
38002GRDMR11445,47157020902,6867
14048NGRMH106PO,36013035600,3443
28562STNDY101IN,37049960501,4149
14750CMMNS4720B,36013037000,3406
60160MCHTR1635N,17031816500,4262
15074RMMTL49753,42007602100,3472
55317QNTMC1691L,27019090703,4728
61104RCKFR707HA,17201002000,2366
12072NDRSN156AU,36057072700,4549
00985CRTSNSTATE,,
27530HFLST1677O,37191000901,4391
46517FRNTR28335,18039001402,4481
76504RTCBL1302I,48027020401,3564
55110CCTRN4255W,27123040605,3527
64120WSTRN62EQU,29095015500,1328
54401MXXXX144RO,55073000602,3795
07080TMPLN291HA,34023001004,2336
76117FLCNS421LD,48439110204,7560
08003TLGNX193LN,34007603501,6669
23116TYLRM8433E,51085320902,2921
30107TMKNS355TR,13057090402,6801
07410KRSCH2001P,34003017200,6701
16314CNCNC23727,42039111300,5228
94080SGRNG182BE,06081602300,4238
30340PRFLX2654W,13135050306,4307
97210WLLBR5501N,41051004300,1176
47362VSTNCSTRD3,18065975900,4452
41042MZKCR8025P,21117063604,6741
10549ZRCKMRADIO,36119013000,6570
29627WLLSLPOBOX,45007011402,3364
73101CMCRPINTER,40017301006,3313
49441CWCCS2672H,26121002100,3246
53188CCRTSN12W2,55133203000,2298
37745DNLDS115RC,47059090100,6555
64601DNLDS400DO,29117480400,2743
46041DNLDSSTATE,18023950400,4191
50112DNLDSSOUTH,19157370400,4270
83338JRMCH47W10,16053970502,2498
67337DXNNDAIRPO,20125950700,3699
27804SCRCR2151N,37127010604,3830
08876GBSNT100AS,34035053603,4804
94088DNXCR1228T,06085508708,4653
06037MHRTN225EP,09003400101,2928
96782WGNRT475KA,15003008001,2664
84043MCRNT1550E,49049010217,7135
24557TCHMS22EGR,51143010600,2908
52159MWCXX31WSP,19043070200,3409
06511SRGNT100SA,09009140200,543
49507VCHMC55CTT,26081003600,2360
60434MBLJLINTER,17197883306,3567
19530STPNN191WI,42011014000,4162
04096WFWYMCOUSI,23005004402,3543
63147THLTL4622B,29510109700,1644
17752CRYMCPAROU,42081011702,3301
60106LCTRN21EAS,17043840000,2835
46818TRXDV7727F,18003010603,1778
61109WRTCH84039,17201980000,2
47150SMTCN520PA,18043071007,5195
18915HNPCK92CUN,42017102003,4473
46515LJHNS2100S,18039001901,6687
16316VKNGT1116S,42039110502,3497
60645NYLKC6465P,17031808002,5281
55343DCPRD845EX,27053023402,1913
65026FSCNDFASCO,29131962902,1411
07114BPXPLBLDG3,34013980200,10
46624LLDSG3520W,18141000100,2191
12188GNRLL260HU,36091062700,6170
53223SPRST7900W,55079000102,3711
90509HSHRC2600S,06037651101,5050
46231CRRRC7310W,18097342000,6690
60089PLXSC2400M,17097864521,2537
90058NGNRD2882E,06037980016,222
60706MTHDD741WW,17031810502,5355
18109MPRDC44UNI,42077000102,4551
43416BRSHWSOUTH,39123050900,5359
47903WBSHN1000S,18157000800,1933
47905WBSHN3550E,18157010700,6695
60608HKRMR1359W,17031310600,5498
95334RGRSF9984W,06047000505,6974
90023BRGLC3150E,06037205120,3858
00785CHMSRRD3KM,,
01420THDRB119AU,25027710300,3582
65281SLSBR87LUC,29041470300,2816
43026VNNRN4282R,39049007922,6201
06610PRMRS11BST,09001073400,3882
42420LCNNGKENTU,21101020800,4393
77029QLTYL252MC,48201212400,2947
06340DNCST835PO,09011702700,4707
01821MRCNS829MI,25017316300,8441
01810NDVRC3BRIC,25009254100,6602
92806CLSSC2985E,06059011714,1016
74116MRSTR1555N,40143011300,2735
38960KPPRSHIGHW,28043950102,3895
71360DRWDTWADLE,22079013100,2711
14810PHLPS7265R,36101961200,3579
27922NCRST1505R,37091950201,2182
30628WYRHS268FF,13195020400,6240
63090SPRLN611EA,29071800201,5231
49001THPJH7171P,26077001905,5447
63090SPRLN215LA,29071800401,5406
46176RYBDC800MA,18145710400,3198
65625FSCNCSALEB,29009960500,6150
60031SBTRN94LAK,17097861603,6106
63139CHMSP211CL,29510103600,1250
56320CLDSP32S3R,27145011302,6906
56320CLDSP422MA,27145011302,6906
56320CLDSP17434,27145011302,6906
01441SMPLXONESI,25027708100,8213
38127CCRYL2665F,47157020221,2742
95050NTRNT227MA,06085505202,7715
14620WNDSR3SCIE,36055003806,5321
37771YLSCRYALEA,47105060203,2977
26739MTSTRHC76B,54023969400,2986
77039NLRND4714W,48201222200,3812
77512CNCHMFM291,48039661700,3022
42029PNNWLALTON,21157950101,2691
60462PNDTN15W16,17031824129,4357
70669VSTCHOLDSP,22019002702,3240
19134MPNNC3675A,42101038200,2801
49512KFNSH4175D,26081012608,4057
33619TRDMR1216O,12057012211,2002
49512KFNSH4436D,26081012608,4057
44112LCTRL1325E,39035199300,1753
55060WNGRC555PA,27147960400,4351
01915DLTLC416CA,25009217300,5281
44830NDLXN930SA,39147962800,3444
49854MNSTQ453SM,26153000300,3079
60131RXSNF9100B,17031811500,6031
41006GRFFN1176B,21191930102,3617
46701CTTNL1612P,18113972400,4769
29651HCHSTHOODR,45045002503,11447
05452BMXXX1000R,50007002602,4563
