FacilityNumber_receiving,FIPS_1,POPULATION_2020
6052,47145980100,0
16088,49045130800,6988
20500,35001980000,4578
6342,47001020100,3164
26925,18089030400,2844
670,35015000800,2223
11132,18097357400,4345
36881,39061020504,3358
195,39061007300,1916
16953,18169102500,4204
27999,09011702700,4707
3083,45045002903,7366
35505,51690000100,3340
23024,42069111300,4520
16368,39035114600,828
6022,26049010811,2375
11004,49007000600,4753
33397,39173020100,5160
1005715,26163524600,1401
32297,26163524500,83
12771,55079012300,1047
5129,37129011503,3657
977,37077970607,4945
36977,26139023004,4163
26491,04013061024,2391
23998,04012020503,1043
13065,42007602800,2433
1002209,17089851908,5121
37037,04013111202,2150
3773,48439111312,3452
10763,42017980000,0
1207138,33013032800,5182
28439,33013032200,2728
23826,21239050103,3635
5899,26055550602,5693
28495,45085000800,3808
28989,39039958100,4250
9770,,
9210,18163010205,3459
3151,40143005900,2693
4070,27071790202,2798
9134,06019003900,5024
26515,25017312200,4920
1004301,33015003400,5735
30179,09009351900,2840
19573,04013109200,4338
1006304,,
27272,49049980300,3707
26559,,
28235,41051007300,1781
19421,37123960301,1629
22121,48439113102,4787
31126,39017013100,2182
5680,17149952400,2937
1001401,31109002200,5550
1000327,31109002100,2578
17769,18003011502,2663
25375,55079186800,1736
38032,34039035800,3339
16039,37035011702,7200
18343,51183870201,3262
1003601,48309001500,2272
1004409,55085970603,1985
5567,17103000800,3399
30614,34039035400,2892
11011,48201252500,5051
9211,39093060100,4260
35877,17031843200,2422
10702,55035000302,8369
17669,55055101500,3976
1001814,39167020500,2249
17337,36029008400,2385
32786,37119005301,3637
12677,48245001200,2221
6648,47179061200,3499
35357,17031770602,4762
16809,26081014605,6622
38953,06037404402,5042
18113,55079006300,1910
12671,13015960602,4087
13402,17089852500,6500
8291,06037121102,2846
20400,28017950200,3506
14337,40109108604,4966
1285,45061920302,4350
26605,13089023444,2270
2078,39147963500,3638
8702,22047953000,2006
2651,53033031904,3496
13885,34023006403,2733
1172,37067002806,3285
22395,27141030106,7667
4704,04013611900,3238
1006759,06037207400,2002
11676,34031264200,4931
23035,34039034400,4852
36387,25027728100,5388
1207266,26081002600,4047
1004940,26163565600,2088
36425,26149041102,3194
1002767,13135050536,6810
8068,36063022000,3272
1940,42007600601,2067
24516,44007011600,6464
35918,25009207000,2289
32397,09003487100,7158
33024,36059518501,7332
11746,09001074300,4652
17532,50007003101,8002
18263,44003021902,2678
4773,,
20414,39045032501,3554
2613,39151714901,3818
19706,42003461000,1108
7718,21019031200,3254
7880,06029003304,3732
22378,06013378000,3892
28357,06001451104,7028
7781,,
9430,18133956600,5657
1003470,,
31261,39099812400,2742
36959,26163534800,2205
4485,39113060200,1434
1002503,39061021504,6386
586,36027040001,4595
20590,06059086501,4368
12797,06071012500,4329
29907,06037294701,3110
28640,06037402801,4911
1000554,08031001901,3903
2079,12093910101,5905
8628,39063000302,7013
38111,39011040300,3553
1005263,47147080605,3071
8487,39049008380,5128
10258,39095005602,947
29995,39051040400,3679
32321,26161984000,34
30331,28081950204,5619
3612,13013180501,8269
32560,48085031708,3902
17067,48251130221,3420
14603,05139950200,3983
21975,48037011502,2789
31593,48037010800,4500
24982,47035970401,4568
34453,40123089100,2308
1002988,48037010800,4500
1000509,05081030200,2478
1002752,13035150202,3205
8222,13079070100,3271
19879,13095011600,1814
37057,55101001701,3715
15404,17043846106,3639
30824,48201250102,5569
37471,36117020900,5119
3888,09013890202,4949
19192,22033003000,4798
25161,37035010600,6650
13980,17031816500,4262
1004177,27127750400,2829
4733,54069002000,4922
13739,45083023401,2459
21604,27171100202,1547
16571,36047057901,1416
34879,06059076204,5009
11187,40089098501,3610
15501,16027020404,4837
27714,16001010102,5974
20085,16001010368,3194
29798,06085512602,3531
37944,42013100200,2202
22719,27123041302,4232
7452,27053027002,5498
1408926,55015020500,5155
1006107,28143950200,4082
15061,36013036000,4152
23750,,
18514,37001020501,3965
32315,17031827500,4465
36725,42007601801,3561
9951,42077001501,7159
1005700,36057072700,4549
11729,42095017901,3920
3629,34027046109,3312
23037,37081015500,7211
21481,17031830500,4410
38200,18041954400,4641
28328,29095016100,1906
17647,29095016300,2082
1204087,55073000400,6219
27110,17043842300,3584
25282,55073001103,5313
38883,34039030500,5942
17184,48201210800,2623
33095,51085320801,2618
36505,13121011100,2524
22227,26121002300,5719
22897,42073000200,2020
26663,42039111600,3735
1006567,42003451300,7810
38129,06085503122,4108
31668,06085504505,11204
18878,17031540102,2938
30547,18135952100,2751
10408,55079006300,1910
1205352,18065976300,1787
8704,39049007931,4305
1002087,40137000400,5221
4723,26139023200,2565
37290,55079187200,5724
16942,47163041500,2754
1003810,19037070400,3767
1690,29117480100,3800
15841,18023950800,3570
1000690,19157370400,4270
35953,16031950200,3464
26444,20125951400,2066
8424,37127010603,1532
24206,37127010506,3760
9721,45075010603,1371
16254,34023008300,5783
21489,06085503121,4767
21509,09001070300,1359
29543,09009171600,4998
20556,49011127002,8272
1006585,49049002212,5502
28233,16027020404,4837
36510,53011041105,6463
37607,51031020200,5655
16775,09009167201,4183
35122,42011013701,3603
421,23025966900,3278
10013,29189210400,4142
1003072,17031803008,4767
20485,18003980002,133
11103,17007010200,5640
6397,42101032600,7761
12366,36055014700,4897
24359,18039001402,4481
5498,27123036100,1607
21394,29051020198,7347
1003175,34039030600,3730
8944,18141010700,3989
8984,26149040600,3140
1204977,,
1003461,,
12010,45083023406,4346
1751,18097358000,1363
1205487,06037980025,518
16631,06037205120,3858
1000144,44007014200,4757
30921,39035195700,4566
34124,18089020200,2497
32310,39095009902,1096
1408945,18067001200,3598
3964,31095963700,2959
566,17097863100,2563
31235,41051004602,2189
30364,42007605500,5011
18506,17031842600,4245
30188,,
37597,42071011200,1982
1000701,06047000503,2903
35325,06047000505,6974
12817,18017951800,3641
8837,25009261102,5150
14552,29121960300,3775
35924,48257050500,5524
10031,48201231200,6800
26136,06037980018,30
19532,09003515102,6054
21219,25017383102,5012
33281,33011014302,5877
6552,04013114800,3459
9529,47157020221,2742
6713,42101038301,2663
10833,37015960200,3232
13993,37117970500,5272
34050,13011970200,4932
37995,42027011002,5196
35851,39171950400,4578
11062,29071800302,4714
29405,18083955100,2814
1204897,18031969400,5748
35825,18145710100,3678
39210,29011960200,3804
1004653,27009021201,6828
33531,39035195700,4566
32340,39035195700,4566
29616,25009251300,3893
31945,25027729100,5008
31709,25027716300,3967
27541,47157020221,2742
1010472,48201343601,11
25663,47107970201,2480
29143,24023000700,5578
38943,48039661700,3022
1005558,17097861403,2556
33985,48139060802,8744
9354,42007601100,3076
7047,48201334102,7351
36299,48361021300,6081
18651,42101000500,3614
24632,12119910601,5319
1000200,39035117800,1878
4475,27161790200,2617
10619,27147960500,2832
24395,27079950400,3666
1010698,25009221901,3490
3890,21211040404,3718
1208231,26153000300,3079
36289,21191930102,3617
1750,18113971700,6212
31351,37159051901,4861
20044,45083022411,4012
6669,47065012100,6066
1003734,50007004002,4755
1004673,50007003101,8002
34750,17031842600,4245
1000069,44007012602,7469
29036,36055001900,2699
29921,24510200600,2325
1003173,36119002600,4349
17400,36027220201,3424
14105,47179060501,4718
21874,42101029100,4826
1003950,48113020402,6079
1007597,27099001300,4382
14837,27053104002,4309
16148,26163595201,3164
2149,26147641000,3509
1711,26147643000,3704
17269,39035105602,1998
23576,39093013101,5392
31751,18097342000,6690
23744,48201252100,3246
25021,26163986501,0
35787,17031820202,3128
36907,05147490200,2395
1005603,42079200700,3721
36823,42133020321,3491
1001694,48039664000,3277
21416,37105030401,3777
1003536,21125971001,4118
1003441,42095016500,5013
30880,40101000600,3674
23956,42049011202,7342
34680,48183010401,3531
26646,27169670400,4185
20778,27037061003,2674
19001,25017301101,4210
889,05119003605,5703
1000621,05145070502,2580
1004766,06037433302,1701
9528,47147080605,3071
10549,21111012701,4284
11474,53053060200,2247
10446,53033009300,3611
28349,55025001402,5429
1002956,48027023402,4990
33143,08013012208,2501
29502,48029131802,7232
91,48091310904,8822
6931,48029161802,9710
9251,48355005406,4585
15971,51139030200,4141
26200,39049007303,6632
26064,08077000900,4417
17243,08077000801,3907
27098,21223100200,5284
24088,29097011501,5442
35750,18141010202,1678
27039,17119404000,2289
662,45003980100,0
13902,37025041504,4409
8168,37157041400,3019
37842,48201340202,7911
38987,48157673501,8831
36032,48201343700,3860
23789,48167723300,9672
7651,48355006000,2679
36616,48167721800,5607
5510,06037980034,110
7690,19013003001,5485
38186,17143004102,3086
30597,36067000100,1049
20694,36067011102,3906
38892,26163505800,3337
26597,21073071102,3875
33883,26077001801,3269
26935,18141002200,3006
9052,33015003703,5892
3645,21059001800,6879
27546,21101020902,3298
1408904,21015070503,6614
25483,53033009300,3611
16753,19153010500,6297
15104,18183050600,2068
24685,30049001201,7030
19266,17031802505,6723
1002590,01055010900,1789
8864,39095005602,947
16312,42003401200,2911
39401,42073011700,1992
33639,42003490004,4946
8641,42025020900,5593
9126,42129801300,4472
37362,42019911400,3361
2006,42003487000,1612
4143,48201343601,11
24535,40051000100,942
17914,39035115800,2648
1004260,36001013503,5284
5004,41039002403,4329
4392,53015002003,4871
7777,26137950600,4639
38866,48201540101,6790
38742,48245011600,2100
1595,18127051009,5799
16937,18089010205,1249
20654,39109300100,4751
9701,37127011201,3222
8936,37163970502,4198
32687,45083021600,3525
9453,37119004400,4500
787,13185011402,2470
30475,17119401300,4715
14838,54011001400,2352
22803,08069001308,6098
31876,08031004101,4802
18257,18003011608,9270
14799,18141002800,2195
10340,17031826800,4596
17460,21111002700,2723
36547,17031827500,4465
10403,51073100101,2987
31006,51650010304,8137
1007567,41035971800,2365
13498,53077000100,2628
6440,17183010500,3432
23048,19123950700,2573
19922,39035189107,5139
4149,42011010304,6637
35497,06037206051,2591
1164,34005700303,4067
20134,18005010800,4147
24225,27151960300,1623
14222,18097358000,1363
3306,27053101600,3174
7049,24510260700,3321
10007,37089930502,4897
6536,22047952702,3091
33192,36075021002,2028
9106,41067032610,2879
28976,39155932600,3403
16706,01055010100,2033
34944,01115040108,5225
1598,17031816500,4262
9392,39049009751,6537
24712,21015070301,5992
20442,06071001803,3240
36870,13013180204,3191
14152,17031838800,3102
1201867,55133200400,7375
